term,cf,df,offset
,2,2,0
0063,1,1,2
0074,1,1,3
0075,3,3,4
0089,3,3,7
0092,1,1,10
0096,1,1,11
01,20,8,12
0101,1,1,20
0103,1,1,21
0104,1,1,22
0105,1,1,23
0113,1,1,24
0124,1,1,25
0127,1,1,26
0132,1,1,27
0133,1,1,28
0135,1,1,29
0146,1,1,30
0149,1,1,31
0162,1,1,32
0167,1,1,33
0168,1,1,34
0171,2,2,35
0173,1,1,37
0178,1,1,38
0180,1,1,39
0182,2,2,40
0188,1,1,42
0189,1,1,43
0192,2,2,44
0194,1,1,46
0195,1,1,47
02,15,7,48
0209,1,1,55
0214,1,1,56
0219,1,1,57
0228,1,1,58
0231,1,1,59
0235,1,1,60
0236,2,2,61
0237,2,2,63
0238,1,1,65
0252,1,1,66
0262,1,1,67
0263,1,1,68
0264,1,1,69
0265,2,2,70
0268,1,1,72
0269,2,2,73
0270,1,1,75
0274,1,1,76
0278,1,1,77
0284,1,1,78
0286,1,1,79
0291,1,1,80
0294,1,1,81
0299,3,3,82
03,57,26,85
0300,1,1,111
0306,1,1,112
0310,1,1,113
0316,1,1,114
0318,1,1,115
0322,1,1,116
0336,1,1,117
0337,1,1,118
0343,2,2,119
0349,1,1,121
0351,1,1,122
0352,1,1,123
0357,1,1,124
0362,1,1,125
0371,1,1,126
0380,1,1,127
0382,1,1,128
0388,1,1,129
0389,1,1,130
0390,2,2,131
0391,1,1,133
0392,1,1,134
0399,3,3,135
04,62,26,138
0401,1,1,164
0403,1,1,165
0406,1,1,166
0410,1,1,167
0411,3,3,168
0412,2,2,171
0414,1,1,173
0417,1,1,174
0419,1,1,175
0420,1,1,176
0423,1,1,177
0424,1,1,178
0430gmt,1,1,179
0431,2,2,180
0433,1,1,182
0438,1,1,183
043900,1,1,184
0439est,1,1,185
0441,1,1,186
0442,2,2,187
0445,1,1,189
0447,1,1,190
0449,1,1,191
0450,1,1,192
0453,1,1,193
045400,1,1,194
0454est,1,1,195
0455,1,1,196
045800,1,1,197
0458est,1,1,198
0459,2,2,199
0464,1,1,201
0472,1,1,202
0478,1,1,203
0480,1,1,204
0481,2,2,205
0483,2,2,207
0484,1,1,209
0490,1,1,210
0493,1,1,211
05,43,18,212
0503,1,1,230
0505,2,2,231
0507,1,1,233
051200,1,1,234
0512est,1,1,235
051300,1,1,236
0513est,1,1,237
0514,1,1,238
051400,1,1,239
0514est,1,1,240
0516,1,1,241
0518,1,1,242
051900,1,1,243
0519est,1,1,244
052400,1,1,245
0524edt,1,1,246
052600,2,2,247
0526est,2,2,249
052700,1,1,251
0527edt,1,1,252
053100,1,1,253
0531est,1,1,254
0533,1,1,255
053300,1,1,256
0533est,1,1,257
0534,1,1,258
0535,1,1,259
053500,1,1,260
0535est,1,1,261
053600,1,1,262
0536est,1,1,263
0539,1,1,264
053900,1,1,265
0539est,1,1,266
054100,1,1,267
0541est,1,1,268
054200,1,1,269
0542est,1,1,270
0543,1,1,271
054500,1,1,272
0545est,1,1,273
0547,1,1,274
054800,2,2,275
0548edt,2,2,277
0549,2,2,279
054900,1,1,281
0549est,1,1,282
055000,1,1,283
0550edt,1,1,284
055100,1,1,285
0551est,1,1,286
055200,2,2,287
0552est,2,2,289
0555,1,1,291
0556,3,3,292
055600,1,1,295
0556est,1,1,296
055700,1,1,297
0557est,1,1,298
0558,1,1,299
055800,1,1,300
0558est,1,1,301
0564,4,4,302
0568,1,1,306
0572,1,1,307
0580,1,1,308
0581,1,1,309
0582,1,1,310
0585,1,1,311
0587,1,1,312
0598,3,3,313
06,57,24,316
060000,1,1,340
0600est,1,1,341
0601,1,1,342
060200,1,1,343
0602est,1,1,344
060300,2,2,345
0603edt,1,1,347
0603est,1,1,348
0605,1,1,349
060700,3,3,350
0607est,3,3,353
0608,1,1,356
060900,2,2,357
0609edt,1,1,359
0609est,1,1,360
061000,1,1,361
0610est,1,1,362
061100,1,1,363
0611est,1,1,364
061200,2,2,365
0612est,2,2,367
061300,3,3,369
0613edt,1,1,372
0613est,2,2,373
061500,3,3,375
0615edt,1,1,378
0615est,2,2,379
0616,2,2,381
061800,2,2,383
0618edt,1,1,385
0618est,1,1,386
0619,1,1,387
062500,1,1,388
0625edt,1,1,389
062600,1,1,390
0626edt,1,1,391
062700,1,1,392
0627edt,1,1,393
062800,1,1,394
0628est,1,1,395
0629,1,1,396
062900,1,1,397
0629edt,1,1,398
0630,2,2,399
063000,1,1,401
0630edt,1,1,402
063100,1,1,403
0631edt,1,1,404
0632,1,1,405
0633,1,1,406
063300,1,1,407
0633edt,1,1,408
0635,1,1,409
0636,2,2,410
063600,1,1,412
0636est,1,1,413
063700,1,1,414
0637est,1,1,415
0638,1,1,416
064000,1,1,417
0640edt,1,1,418
064200,1,1,419
0642est,1,1,420
0645,1,1,421
064800,1,1,422
0648est,1,1,423
0655,1,1,424
0658,1,1,425
0663,1,1,426
0665,1,1,427
0673,1,1,428
0675,1,1,429
0685,1,1,430
0686,1,1,431
06876,1,1,432
0689,1,1,433
0691,1,1,434
0694,1,1,435
0698,1,1,436
07,47,18,437
0700,1,1,455
0702,1,1,456
0708,1,1,457
0709,1,1,458
0711,2,2,459
0712,2,2,461
0715,1,1,463
0718,1,1,464
0719,1,1,465
0720,1,1,466
0724,1,1,467
0730,1,1,468
0733,1,1,469
0737,1,1,470
0739,1,1,471
0741,2,2,472
0742,1,1,474
0745,2,2,475
0756,2,2,477
0757,1,1,479
0758,1,1,480
0765,1,1,481
0770,1,1,482
0774,1,1,483
0777,2,2,484
0779,1,1,486
0780,1,1,487
0793,2,2,488
0796,2,2,490
0798,1,1,492
0799,1,1,493
08,19,8,494
0800,1,1,502
0804,1,1,503
0810,1,1,504
0813,1,1,505
0817,1,1,506
0819,2,2,507
0824,1,1,509
0826,1,1,510
083000,1,1,511
0830est,1,1,512
083400,2,2,513
0834est,2,2,515
083600,1,1,517
0836est,1,1,518
0837,1,1,519
0838,1,1,520
084400,2,2,521
0844est,2,2,523
084500,1,1,525
0845est,1,1,526
084600,1,1,527
0846est,1,1,528
0847,1,1,529
084700,1,1,530
0847est,1,1,531
084800,1,1,532
0848est,1,1,533
0851,1,1,534
085100,1,1,535
0851est,1,1,536
085200,2,2,537
